flow_id,payload_length,time_diff
1,1094,0.0016311586368829012
1,48,0.0042168316431343555
1,1500,2.6687364879762754e-05
1,38,0.018077149987220764
1,280,0.0005086912424303591
1,31,0.0009012909722514451
1,630,0.00010609145829221234
1,1500,0.021288005635142326
1,40,0.0105412183329463
1,1395,1.5088906366145238e-05
1,936,4.524303585640155e-05
1,129,2.2341348085319623e-05
1,37,1e-06
1,845,3.908117287210189e-05
1,368,3.703133188537322e-05
1,65,0.005299202632158995
1,56,0.00491975387558341
1,45,0.00742753129452467
2,1151,0.024974238127470016
2,409,2.9332320991670713e-05
2,41,0.004857554566115141
3,300,5.408058859757148e-05
3,24,0.00024219215265475214
3,1277,0.0021186135709285736
3,37,1e-06
3,1214,0.0002586777263786644
3,96,0.006208278238773346
3,28,0.007373957894742489
3,31,0.009502887725830078
3,119,8.847851859172806e-05
3,32,0.0014385284157469869
3,136,2.7369558665668592e-05
3,62,0.005621078424155712
3,32,0.0017091515474021435
3,40,0.001767346286214888
3,37,0.00013511217548511922
4,76,0.00464407354593277
4,30,0.006961282342672348
5,533,6.822993600508198e-05
5,160,0.004100305028259754
5,70,0.004010756034404039
5,1500,0.010099543258547783
5,41,0.012123079970479012
5,844,0.0009574222494848073
5,33,1e-06
5,202,0.0007805415079928935
6,24,1.0735438991105184e-05
7,28,0.0071619050577282906
7,80,0.006434611976146698
7,1153,0.0008658406441099942
8,42,4.3192263547098264e-05
8,35,2.798446439555846e-05
8,61,0.006770467385649681
8,140,0.005477053578943014
8,1157,3.773122080019675e-05
8,37,0.002919861814007163
8,962,0.0015158255118876696
8,225,3.284596823505126e-05
8,32,0.0030442506540566683
8,1068,0.0005625456687994301
8,1354,0.00044857346802018583
8,35,0.00023870481527410448
8,1056,0.0003666697011794895
8,26,0.00011429268488427624
8,652,0.00012861713184975088
8,962,8.193784015020356e-05
9,528,8.269640238722786e-05
9,1279,0.00021789883612655103
9,788,2.8059203032171354e-05
9,1304,6.481733726104721e-05
9,43,0.0008521186537109315
9,57,0.004786351695656776
9,31,0.005619202274829149
9,1350,0.012367567047476768
