flow_id,payload_length,time_diff
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
1,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
2,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
3,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
4,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
5,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
6,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
7,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
8,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
9,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
10,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
11,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
12,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
13,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
14,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
15,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
16,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
17,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
18,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
19,0,1e-06
